Active,Email,LastName,FirstName,ContactNo
1,test@test.com,Ponce,Gustavo,1234567890
0,one@love.com,Marley,Bob,6483748590
1,high@hopes.com,Gilmour,David,7648909831
1,standby@me.com,Lennon,John,7689485620
0,children@grave.com,Osbourne,Ozzy,6483748590
1,stairway@heaven.com,Page,Jimmy,7648909831
0,purple@haze.com,Hendrix,Jimi,8754091236
1,save@queen.com,Pistols,Sex,6729098761
0,riders@storm.com,Morrison,Jim,8754091236
1,highway@star.com,Blackmore,Richard,8754091236
1,cosmic@girl.com,Kay,Jay,926389871
1,heroes@oneday.com,Bowie,David,4338490981
0,knocking@doors.com,Dylan,Bob,4338490981
1,mala@vida.com,Chao,Manu,8923098753
1,ghost@thown.com,Specials,The,7590498573
0,see@clearly.com,Cliff,Jymmy,4338490981
1,my@girl.com,Temptations,The,7639864096
1,mr@robinson.com,Garfunkel,Simon,8750987531
1,takes@sometime.com,22,catch,7098653427
0,cry@baby.com,Joplin,Janis,6739087641
1,wild@side.com,Red,Lou,6789045678
1,the@passenger.com,Pop,Iggy,6934980751
0,holiday@cambodia.com,Kennedys,Dead,2389096457
0,dont@cry.com,Cure,The,8749340987
